Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
M011	31106568.0	8147369.0	4750.0	2447476.0	9453662.0	26773688.0	2436126.0	74.6138666185273	0.9	1.0	10.5	0.0	0.0	directional	15585060.0	15516758.0	1501006050.0	41690063.0	262590758.0	970908976.0	228831490.0
M012	27576372.0	6809426.0	4230.0	3549327.0	13644279.0	24835890.0	2323697.0	75.12054306385855	1.5	1.6	11.1	0.0	0.0	directional	13818532.0	13753610.0	1330352107.0	36709495.0	232038421.0	856462269.0	199821921.0
M013	25045830.0	6470260.0	3960.0	1938167.0	7476814.0	20658635.0	2134423.0	74.42926650182123	0.9	0.9	10.1	0.0	0.0	directional	12550717.0	12491153.0	1213643236.0	33650513.0	213021658.0	786134584.0	184413378.0
M014	27018652.0	6849871.0	4354.0	2077193.0	8002078.0	22246618.0	2229008.0	74.84903053341793	0.9	0.9	10.0	0.0	0.0	directional	13539233.0	13475065.0	1311905893.0	36097531.0	230238595.0	850010398.0	199331011.0
M015	28513268.0	7201719.0	4531.0	2224577.0	8549243.0	23230494.0	2611438.0	74.39584568610299	0.9	0.9	9.9	0.0	0.0	directional	14289486.0	14219251.0	1383329053.0	38326425.0	243118323.0	895252111.0	210954305.0
M016	30015628.0	7659693.0	4755.0	2226443.0	8574644.0	24556208.0	2763443.0	74.22488976171478	0.9	0.9	10.0	0.0	0.0	directional	15041272.0	14969601.0	1450271514.0	40438764.0	255442360.0	937393834.0	222078025.0
M017	31414168.0	7739312.0	4718.0	2204840.0	8499395.0	24985955.0	2433499.0	75.53847082761169	0.8	0.9	9.8	0.0	0.0	directional	15728962.0	15680488.0	1515150757.0	41586979.0	266449377.0	982862573.0	230148617.0
M018	32782456.0	7785248.0	4987.0	2497274.0	9607157.0	27078822.0	2767875.0	75.64790123145696	0.9	0.9	10.1	0.0	0.0	directional	16411634.0	16365835.0	1585479687.0	43335579.0	278744833.0	1027342749.0	240208852.0
M019	31159671.0	7276296.0	4883.0	2428408.0	9288253.0	26545829.0	2689039.0	75.76818590616132	0.9	0.9	10.4	0.0	0.0	directional	15615262.0	15539526.0	1508919778.0	41125006.0	265999732.0	975210299.0	229447257.0
M020	33368168.0	8129574.0	5281.0	2557536.0	9824388.0	27347412.0	3078856.0	74.85579765418618	0.9	0.9	10.0	0.0	0.0	directional	16717488.0	16645399.0	1618887835.0	44576598.0	284764043.0	1047323560.0	247070896.0
M021	31598978.0	7918083.0	5016.0	2489733.0	9772897.0	27156919.0	2626744.0	74.97893937199073	0.9	1.0	10.8	0.0	0.0	directional	15823273.0	15770689.0	1532100544.0	42143805.0	265421125.0	1002393612.0	224866258.0
M022	22057948.0	5816285.0	3327.0	1717763.0	6596455.0	19184293.0	1907399.0	74.06561198526663	0.9	0.9	10.6	0.0	0.0	directional	11056386.0	10998235.0	1067718405.0	29781632.0	187490322.0	691340060.0	161389512.0
M023	29107338.0	7439743.0	4538.0	2226573.0	8579738.0	24546203.0	2800797.0	73.97435256864424	0.9	0.9	10.3	0.0	0.0	directional	14577177.0	14525623.0	1405119609.0	39347878.0	247136314.0	909739695.0	212891086.0
M024	29688230.0	7446574.0	4578.0	2294501.0	8837581.0	24138929.0	2603639.0	74.7090921503895	0.9	0.9	9.9	0.0	0.0	directional	14872667.0	14810985.0	1437585222.0	39738443.0	252681044.0	930469375.0	219163792.0
M025	29597534.0	7597242.0	4645.0	2339980.0	9070879.0	24954027.0	2565958.0	74.43910366443436	0.9	1.0	10.4	0.0	0.0	directional	14819771.0	14773118.0	1432486455.0	39760734.0	250416834.0	929889003.0	215815732.0
M026	27706649.0	6835010.0	4123.0	2213392.0	8569664.0	24255295.0	2245532.0	75.31602236224016	0.9	1.0	10.8	0.0	0.0	directional	13869573.0	13832953.0	1340015818.0	36787191.0	234220178.0	871071840.0	199685449.0
