V1	V2
isogroup10213	GO:0004806
isogroup10216	GO:0006564;GO:0016616;GO:0004617;GO:0047964
isogroup10219	GO:0006118;GO:0003979
isogroup10225	GO:0003723;GO:0005786;GO:0006605
isogroup10226	GO:0004497;GO:0006725;GO:0006118;GO:0008152;GO:0016491;GO:0004502
isogroup10228	GO:0030144
isogroup10231	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004684;GO:0004685;GO:0005954;GO:0007268;GO:0048167
isogroup10235	GO:0005515;GO:0042981
isogroup10237	GO:0007242
isogroup10238	GO:0004326
isogroup10239	GO:0005524;GO:0006139;GO:0019201;GO:0016776;GO:0004017;GO:0046899
isogroup1024	GO:0006886;GO:0030125;GO:0016251
isogroup10240	GO:0003676;GO:0003723
isogroup10241	GO:0003824;GO:0006725;GO:0016787;GO:0047372
isogroup10242	GO:0003847;GO:0004693;GO:0008353
isogroup10245	GO:0000151;GO:0004842;GO:0008270;GO:0016567
isogroup10246	GO:0004888;GO:0016020;GO:0002226;GO:0009682
isogroup10247	GO:0006364;GO:0007046;GO:0019843;GO:0030532
isogroup10249	GO:0008152;GO:0016491;GO:0004449;GO:0005739;GO:0006099;GO:0004448
isogroup10252	GO:0004335;GO:0005524;GO:0006012;GO:0046835;GO:0008152;GO:0016301;GO:0016310;GO:0005737;GO:0016773
isogroup10255	GO:0008903
isogroup10257	GO:0008451;GO:0004177
isogroup10259	GO:0008152;GO:0016740;GO:0003676;GO:0031177
isogroup10261	GO:0003777;GO:0005524;GO:0005875;GO:0007018
isogroup10262	GO:0008152;GO:0016491;GO:0004316
isogroup10263	GO:0004197;GO:0004221;GO:0006511;GO:0007268;GO:0048167
isogroup10265	GO:0005524;GO:0015662;GO:0015992;GO:0016020;GO:0006812;GO:0003824;GO:0008152;GO:0005388;GO:0006816;GO:0016021;GO:0016820
isogroup10266	GO:0003676
isogroup10267	GO:0005509;GO:0007156;GO:0016020;GO:0005198;GO:0007155
isogroup10268	GO:0007242;GO:0004713;GO:0016175
isogroup1027	GO:0003847;GO:0016251
isogroup10274	GO:0004565;GO:0005975;GO:0009341
isogroup10281	GO:0003812
isogroup10282	GO:0003676;GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
isogroup10283	GO:0003676
isogroup10284	GO:0005515
isogroup10286	GO:0003723;GO:0016071;GO:0006412
isogroup10287	GO:0005123
isogroup10289	GO:0008270
isogroup10294	GO:0003677;GO:0006355
isogroup10300	GO:0003677;GO:0003700;GO:0005634;GO:0006355
isogroup10302	GO:0003824;GO:0006725;GO:0016787;GO:0047372
isogroup10304	GO:0005488;GO:0006810;GO:0016020;GO:0005310
isogroup10306	GO:0005509
isogroup10308	GO:0004785;GO:0006801;GO:0046872;GO:0030001;GO:0016835;GO:0016836;GO:0016837;GO:0016838;GO:0004784;GO:0006950;GO:0006979
isogroup1031	GO:0004096;GO:0006118;GO:0006979;GO:0006950
isogroup10312	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004684;GO:0004685;GO:0005954;GO:0007268;GO:0048167
isogroup10313	GO:0003677;GO:0005665;GO:0006366;GO:0003899;GO:0005634;GO:0006350;GO:0003900;GO:0003901;GO:0003902
isogroup10317	GO:0003824;GO:0006508;GO:0008236
isogroup10323	GO:0001509;GO:0004197;GO:0006508;GO:0003923;GO:0016787;GO:0051336
isogroup10324	GO:0047220
isogroup10325	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0022627;GO:0042254
isogroup10326	GO:0005856;GO:0005737;GO:0008092;GO:0016020;GO:0004725;GO:0004727
isogroup10327	GO:0008270;GO:0006508;GO:0008237;GO:0010992
isogroup10329	GO:0004713
isogroup1033	GO:0005515;GO:0005524;GO:0044267;GO:0003763
isogroup10332	GO:0005622;GO:0006810
isogroup10333	GO:0008091
isogroup10334	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004693;GO:0008353
isogroup10335	GO:0005515;GO:0005737
isogroup10337	GO:0005525;GO:0007264;GO:0006886
isogroup10340	GO:0008152;GO:0016491;GO:0008874;GO:0008875
isogroup10343	GO:0016251
isogroup10344	GO:0016787;GO:0004157
isogroup10346	GO:0000166;GO:0003677;GO:0003887;GO:0006260;GO:0008408
isogroup10347	GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0009719;GO:0005164;GO:0033209
isogroup10348	GO:0008152;GO:0016491;GO:0008670
isogroup1035	GO:0019904;GO:0004623;GO:0004624;GO:0004625;GO:0004626;GO:0004627;GO:0004628;GO:0047498;GO:0047499
isogroup10353	GO:0007275;GO:0002226;GO:0042381
isogroup10357	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004715
isogroup10359	GO:0005525;GO:0007264;GO:0006886;GO:0015031;GO:0003924;GO:0003925
isogroup10361	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004715;GO:0004716
isogroup10363	GO:0005515;GO:0008270
isogroup10365	GO:0005737;GO:0006817
isogroup10372	GO:0005622;GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0010992
isogroup10376	GO:0003676;GO:0005737;GO:0045449
isogroup10377	GO:0007155;GO:0005529;GO:0004713;GO:0002226;GO:0001867
isogroup10379	GO:0003777;GO:0005875;GO:0007017
isogroup1038	GO:0005201;GO:0005581;GO:0008336
isogroup10380	GO:0005737;GO:0006817
isogroup10383	GO:0003676
isogroup10384	GO:0016262;GO:0051301
isogroup10386	GO:0003743;GO:0006413;GO:0006412
isogroup10390	GO:0031419
isogroup10391	GO:0006118;GO:0016491;GO:0004047;GO:0005737;GO:0006546;GO:0008480
isogroup10393	GO:0003676
isogroup10397	GO:0015019
isogroup104	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0022625;GO:0042254
isogroup1040	GO:0003824;GO:0008152;GO:0004467
isogroup10402	GO:0005515;GO:0003774;GO:0005200;GO:0005884
isogroup10407	GO:0016251
isogroup10409	GO:0006457;GO:0031072;GO:0051082;GO:0005525;GO:0007264;GO:0006886;GO:0015031;GO:0003924;GO:0003925
isogroup1041	GO:0006118;GO:0004497
isogroup10410	GO:0047238;GO:0050510
isogroup10416	GO:0004655;GO:0006783
isogroup10418	GO:0005515;GO:0006457;GO:0016272;GO:0006950;GO:0033554;GO:0061077
isogroup1042	GO:0016853;GO:0005489;GO:0006118;GO:0003756
isogroup10421	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0005007
isogroup10423	GO:0006807;GO:0016810;GO:0017159
isogroup10424	GO:0003777;GO:0005524;GO:0005875;GO:0007018;GO:0008574
isogroup10427	GO:0003950
isogroup1043	GO:0006520;GO:0016831;GO:0004837
isogroup10430	GO:0003676;GO:0010992
isogroup10435	GO:0016021
isogroup10436	GO:0003676;GO:0050265
isogroup10437	GO:0003735;GO:0005622;GO:0005840;GO:0006412
isogroup10439	GO:0004342;GO:0006044;GO:0005975
isogroup1044	GO:0005622;GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0010992
isogroup10441	GO:0016905
isogroup10443	GO:0004672;GO:0005524;GO:0006468;GO:0004751;GO:0009052
isogroup10451	GO:0007155;GO:0005529;GO:0002226;GO:0001867
isogroup10453	GO:0004888;GO:0016020;GO:0002226;GO:0009682
isogroup10457	GO:0000175;GO:0003723;GO:0006396;GO:0004534;GO:0016896
isogroup10458	GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0000810;GO:0004787;GO:0008722;GO:0008758;GO:0008796;GO:0008828;GO:0016462;GO:0016818;GO:0019176;GO:0019177;GO:0003887;GO:0003889;GO:0003890;GO:0003891;GO:0003893;GO:0003894;GO:0003895;GO:0015999;GO:0016000;GO:0016448;GO:0016449;GO:0016450;GO:0016451;GO:0016452;GO:0019984
isogroup10459	GO:0004197;GO:0006508;GO:0008234;GO:0004217
isogroup10464	GO:0007242
isogroup10466	GO:0004565;GO:0005975;GO:0009341
isogroup1047	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0022625;GO:0042254
isogroup10474	GO:0004872;GO:0004252;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808
isogroup10475	GO:0004411;GO:0006559;GO:0006570
isogroup10479	GO:0003677;GO:0005677;GO:0006342;GO:0006355;GO:0003956
isogroup1048	GO:0016021
isogroup10480	GO:0006118;GO:0016021
isogroup10486	GO:0043087
isogroup10488	GO:0007218;GO:0016020;GO:0004930
isogroup10489	GO:0003700;GO:0005622;GO:0006355;GO:0004295;GO:0006508;GO:0004263
isogroup1049	GO:0000166;GO:0017111;GO:0005524;GO:0004003;GO:0004004;GO:0008026;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626
isogroup10493	GO:0004222;GO:0005578;GO:0006508
isogroup10495	GO:0005525;GO:0007264;GO:0005524;GO:0005554;GO:0006281
isogroup105	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0042254
isogroup1050	GO:0006886;GO:0030125
isogroup10503	GO:0005525;GO:0007264;GO:0006886;GO:0000160;GO:0003677;GO:0006355;GO:0015031
isogroup10504	GO:0004840;GO:0006464;GO:0006512;GO:0004842
isogroup10505	GO:0005515;GO:0003774;GO:0005200;GO:0005884
isogroup1051	GO:0005622;GO:0006412
isogroup10512	GO:0008478
isogroup10513	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0005003
isogroup10519	GO:0008152;GO:0008484;GO:0003943;GO:0004065
isogroup10521	GO:0003676;GO:0005524;GO:0008026;GO:0004386;GO:0004003;GO:0004004;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626
isogroup10525	GO:0016706;GO:0019538
isogroup10528	GO:0006457;GO:0031072;GO:0051082;GO:0006950;GO:0033554;GO:0061077
isogroup1053	GO:0005576
isogroup10531	GO:0005525;GO:0007264;GO:0015031
isogroup10533	GO:0003824;GO:0006725;GO:0016787;GO:0003841
isogroup10534	GO:0008152;GO:0008484;GO:0003943;GO:0004065
isogroup10535	GO:0004222;GO:0031012;GO:0004249;GO:0008133;GO:0008319;GO:0030402
isogroup10537	GO:0006118;GO:0008152;GO:0016491;GO:0047115;GO:0004074
isogroup10538	GO:0005452;GO:0006820;GO:0016020;GO:0015380;GO:0016021
isogroup1054	GO:0046080;GO:0016787;GO:0004170
isogroup10540	GO:0004363;GO:0006750;GO:0005524
isogroup10545	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
isogroup10548	GO:0005488;GO:0006810;GO:0016020;GO:0005743;GO:0015207
isogroup10552	GO:0006118;GO:0016020;GO:0016491
isogroup10555	GO:0008152;GO:0016491;GO:0003858
isogroup10562	GO:0005622;GO:0008270;GO:0005529;GO:0000151;GO:0004842;GO:0016567;GO:0010992
isogroup10567	GO:0003777;GO:0005875;GO:0007017
isogroup10568	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605;GO:0008384
isogroup10569	GO:0008152;GO:0008484;GO:0003943;GO:0004065
isogroup1057	GO:0003700;GO:0005634;GO:0006355;GO:0003677;GO:0007275
isogroup1058	GO:0005001
isogroup10582	GO:0003723;GO:0006412
isogroup10583	GO:0001584;GO:0007186;GO:0016021;GO:0004969;GO:0031808
isogroup10584	GO:0005529;GO:0002226;GO:0001867
isogroup10585	GO:0003700;GO:0005634;GO:0006355
isogroup10586	GO:0019028
isogroup10588	GO:0007165;GO:0008570
isogroup10589	GO:0003847
isogroup10597	GO:0004179;GO:0006508;GO:0008237;GO:0008270;GO:0004230
isogroup106	GO:0004601;GO:0051920
isogroup1060	GO:0005044;GO:0016020;GO:0004720;GO:0005507;GO:0015922;GO:0016641
isogroup10604	GO:0003676
isogroup10606	GO:0005279;GO:0006865;GO:0016020;GO:0006810
isogroup10610	GO:0016020
isogroup10611	GO:0003824;GO:0004070;GO:0006207;GO:0016812;GO:0004086;GO:0005524;GO:0006807;GO:0005737;GO:0006526;GO:0019856;GO:0008152;GO:0016874;GO:0006520;GO:0016597;GO:0016743;GO:0009058;GO:0016787;GO:0004087
isogroup10612	GO:0051059;GO:0002226;GO:0045824
isogroup10616	GO:0006118;GO:0004497;GO:0050381
isogroup10619	GO:0007218;GO:0016020;GO:0004930
isogroup1062	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
isogroup10624	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0022625;GO:0042254
isogroup10625	GO:0004289;GO:0006508;GO:0000166;GO:0017111
isogroup10626	GO:0005198
isogroup10630	GO:0005509;GO:0007156;GO:0016020
isogroup10632	GO:0005164;GO:0006955;GO:0016020;GO:0005737;GO:0006817
isogroup10634	GO:0003998
isogroup10638	GO:0016021;GO:0050291
isogroup10640	GO:0006118;GO:0016491;GO:0047130;GO:0047131
isogroup10646	GO:0005509
isogroup10648	GO:0004672;GO:0005524;GO:0006468;GO:0008528;GO:0016020;GO:0004383
isogroup10654	GO:0004197;GO:0006508;GO:0008234;GO:0004213;GO:0004216
isogroup10658	GO:0005525;GO:0007264;GO:0003676;GO:0003677;GO:0006355;GO:0015031;GO:0006412
isogroup1066	GO:0003676
isogroup10661	GO:0000074;GO:0006368
isogroup10665	GO:0005737;GO:0006817
isogroup10667	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0005634;GO:0007049;GO:0010992
isogroup1067	GO:0004550;GO:0005524;GO:0006183;GO:0006228;GO:0006241
isogroup10671	GO:0003824;GO:0008152;GO:0004300;GO:0004490
isogroup10672	GO:0004663;GO:0005084;GO:0005968;GO:0006886;GO:0043087
isogroup10674	GO:0031419;GO:0002226;GO:0009682
isogroup10675	GO:0005509
isogroup10678	GO:0005201;GO:0005581
isogroup10682	GO:0008083;GO:0040007;GO:0005576
isogroup10684	GO:0007218
isogroup10688	GO:0003755
isogroup10689	GO:0003824;GO:0008152;GO:0004776;GO:0042709;GO:0045244;GO:0003878
isogroup1069	GO:0003676;GO:0005634;GO:0008270
isogroup10690	GO:0005515
isogroup10691	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0022625;GO:0042254
isogroup10694	GO:0005506;GO:0016216;GO:0017000
isogroup10695	GO:0000145;GO:0006887
isogroup10698	GO:0004871;GO:0005622;GO:0007222;GO:0007275;GO:0005096
isogroup10701	GO:0008067;GO:0016020;GO:0004930;GO:0001641;GO:0007600
isogroup10708	GO:0017110;GO:0045134
isogroup10719	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0003774;GO:0016459;GO:0004674;GO:0008570
isogroup1072	GO:0004553;GO:0005975;GO:0015926
isogroup10721	GO:0003676;GO:0003755;GO:0004600;GO:0030051;GO:0042027;GO:0005528
isogroup10722	GO:0003774;GO:0005524;GO:0016459;GO:0004351
isogroup10726	GO:0005001
isogroup10729	GO:0004179
isogroup10731	GO:0004177;GO:0005622;GO:0006508;GO:0004178
isogroup10732	GO:0008570
isogroup10737	GO:0003777;GO:0005524;GO:0005875;GO:0007018
isogroup10742	GO:0005524;GO:0016887;GO:0000166;GO:0017111
isogroup10743	GO:0006626;GO:0042721;GO:0045039
isogroup10746	GO:0003847
isogroup10747	GO:0005525;GO:0006412;GO:0003924;GO:0008547;GO:0003746
isogroup10748	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605;GO:0004707
isogroup10749	GO:0005515;GO:0007165
isogroup10758	GO:0005622;GO:0005634;GO:0006606;GO:0008565
isogroup10765	GO:0003735;GO:0006412;GO:0015934;GO:0005622;GO:0005840;GO:0022625;GO:0042254
isogroup10769	GO:0003676;GO:0006412
isogroup1077	GO:0005489;GO:0006118
isogroup10770	GO:0005525;GO:0007264;GO:0006886;GO:0003924;GO:0003925
isogroup10771	GO:0006855;GO:0015238;GO:0015297;GO:0016020
isogroup10774	GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0000810;GO:0004787;GO:0008722;GO:0008758;GO:0008796;GO:0008828;GO:0016462;GO:0016818;GO:0019176;GO:0019177
isogroup10776	GO:0005261;GO:0006812;GO:0016020;GO:0005216;GO:0006811;GO:0007600
isogroup10780	GO:0003824;GO:0031177;GO:0006629;GO:0016789;GO:0004771
isogroup10782	GO:0016020
isogroup10787	GO:0005554;GO:0006412
isogroup1079	GO:0003779;GO:0007010;GO:0015629
isogroup10791	GO:0000226;GO:0000922;GO:0005815
isogroup10794	GO:0008270;GO:0003676;GO:0005634
isogroup108	GO:0045552
isogroup1080	GO:0004556;GO:0005975
isogroup10802	GO:0004114;GO:0007165;GO:0003824;GO:0051342;GO:0047555
isogroup10803	GO:0006835;GO:0016020;GO:0017153
isogroup10805	GO:0008757;GO:0008171;GO:0008168;GO:0017096
isogroup10806	GO:0006457;GO:0031072;GO:0051082;GO:0006950;GO:0033554;GO:0061077
isogroup10807	GO:0005509
isogroup10810	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0008097;GO:0042254
isogroup10816	GO:0003777;GO:0005524;GO:0005875;GO:0007018;GO:0008152;GO:0016740
isogroup10818	GO:0031419
isogroup10819	GO:0005267;GO:0006813;GO:0016020;GO:0005249;GO:0008076;GO:0007268
isogroup10821	GO:0005215;GO:0006810;GO:0016021;GO:0016020;GO:0015101;GO:0015226
isogroup10824	GO:0004597
isogroup10829	GO:0003677;GO:0005634;GO:0006355
isogroup1083	GO:0016021
isogroup10830	GO:0006886;GO:0005795;GO:0006891;GO:0008565;GO:0006461;GO:0030130;GO:0004713
isogroup10832	GO:0003676
isogroup10833	GO:0006631;GO:0016491;GO:0003857
isogroup10835	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605
isogroup10838	GO:0016020
isogroup10839	GO:0005525;GO:0007264;GO:0000160;GO:0003677;GO:0006355;GO:0015031;GO:0004602
isogroup10840	GO:0008270
isogroup10844	GO:0004672;GO:0005524;GO:0006468;GO:0004713;GO:0004674;GO:0005009
isogroup10847	GO:0007218;GO:0016020;GO:0004930;GO:0004287
isogroup1085	GO:0003676;GO:0005634;GO:0008270
isogroup10853	GO:0008152;GO:0008415;GO:0004366;GO:0003841
isogroup10854	GO:0004289;GO:0006508;GO:0000166;GO:0017111
isogroup10856	GO:0005525;GO:0007264;GO:0015031;GO:0003924;GO:0003925
isogroup10858	GO:0004672;GO:0004682;GO:0004691;GO:0005952;GO:0005956;GO:0008603;GO:0008605;GO:0004685;GO:0006914
isogroup10859	GO:0005525;GO:0007264;GO:0006886;GO:0015031;GO:0003924;GO:0003925
isogroup10861	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0022625;GO:0042254
isogroup10866	GO:0004784;GO:0006801;GO:0046872;GO:0008384;GO:0006950;GO:0006979;GO:0034599
isogroup10867	GO:0008473
isogroup10869	GO:0004222;GO:0004249;GO:0008133;GO:0008319;GO:0030402
isogroup1087	GO:0016020
isogroup10871	GO:0000151;GO:0004842;GO:0008270;GO:0016567;GO:0010992
isogroup10875	GO:0005509;GO:0016787;GO:0004721
isogroup10880	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0022627;GO:0042254
isogroup10881	GO:0004497;GO:0005507;GO:0004500;GO:0006584
isogroup10882	GO:0005737;GO:0006817
isogroup10883	GO:0016491;GO:0006636;GO:0016020;GO:0016717;GO:0016213
isogroup10886	GO:0005509
isogroup10888	GO:0003676
isogroup1089	GO:0016021;GO:0004360
isogroup10893	GO:0003676;GO:0005634;GO:0008270
isogroup10895	GO:0004748;GO:0005971;GO:0006260;GO:0005509
isogroup10896	GO:0004197;GO:0004221;GO:0006511;GO:0007268;GO:0048167
isogroup10897	GO:0005525;GO:0003924;GO:0008549
isogroup109	GO:0006457;GO:0051082;GO:0005524;GO:0006950;GO:0033554;GO:0061077
isogroup10900	GO:0005515;GO:0005737;GO:0003677;GO:0005634;GO:0006355;GO:0010992
isogroup10901	GO:0007155
isogroup10902	GO:0005509;GO:0007156;GO:0016020
isogroup10904	GO:0035005
isogroup10907	GO:0003677;GO:0006355
isogroup10908	GO:0005622;GO:0008270;GO:0000151;GO:0004842;GO:0016567;GO:0010992
isogroup10909	GO:0004051
isogroup1091	GO:0003677
isogroup10910	GO:0005198;GO:0005874;GO:0007018;GO:0003924;GO:0005525;GO:0043234;GO:0051258
isogroup10911	GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0003676;GO:0015935;GO:0022627;GO:0042254
